Name of Restaurent ,Type of Cusine,Rating,Total No of Ratings,Cost,Landmark,Opening time,Current Status,Dine in availability,Takeaway type,Delivery availability,Location and Address,Description of the Restaurent,Restaurent Name,Rating,number-of-reviews,veg /Non- Veg
Honey Salt,Restaurant,3.8,412,Expensive,,7AM,Closed,Dine-in,Takeaway,,"Vancouver, BC, Canada","Creative, farm-to-table Canadian food & drinks for breakfast, lunch & dinner in a chic, airy space.",Honey Salt,3.8,(412),Non-Veg
Mediterranean Grill,Persian,4.1,748,Not Expensive,,10AM,Closed,,,,"Vancouver, BC, Canada","Informal counter-serve offering simple Mediterranean bites such as falafel, kebabs & shawarma.",Mediterranean Grill,4.1,(748),Non-Veg
BiBo Pizzeria con Cucina,Pizza,4.2,365,Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada","Wood-fired pies & handmade pastas in a comfy atmosphere, plus Italian ingredients for purchase.",BiBo Pizzeria con Cucina,4.2,(365),Non-Veg
Reflections: The Garden Terrace,Restaurant,4.2,399,Too Expensive,,,Temporarily closed,,,,"Vancouver, BC, Canada","Centered around a fire pit, this chic outdoor hotel lounge offers cocktails & tapas-style plates.",Reflections: The Garden Terrace,4.2,(399),Non-Veg
Bellaggio Cafe,Italian,4.0,567,Average Cost,,7AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Airy, breakfast-friendly cafe/restaurant that also serves pastas, pizzas & other Italian dishes.",Bellaggio Cafe,4.0,(567),Non-Veg
Guu Garden,Japanese,4.2,897,Average Cost,,5:30PM,Closed,,,,"Vancouver, BC, Canada","Serene lunch spot by day & hopping izakaya by night, serving Japanese tapas, sake & imported beers.",Guu Garden,4.2,(897),Non-Veg
Roxy Burger,Hamburger,4.2,811,Average Cost,,11:30AM,Closed,,,,"Vancouver, BC, Canada","Lively locale offering creative burgers, other pub grub & nightly drink specials into the wee hours.",Roxy Burger,4.2,(811),Non-Veg
Basil Box,South East Asian,4.3,86,,"Vancouver, BC, Canada",11AM,Closed,Dine-in,Takeaway,No-contact delivery,,,Basil Box,4.3,(86),Non-Veg
Habitant,Tapas,4.1,16,,"Vancouver, BC, Canada",,Temporarily closed,,,,,,Habitant,4.1,(16),Non-Veg
Jamjar Canteen,Lebanese,4.3,484,,"Vancouver, BC, Canada",11:30AM,Closed,,,,,Classic Lebanese fare is customized at the counter in a hip cafe setting with outdoor seating.,Jamjar Canteen,4.3,(484),Non-Veg
Rogue Kitchen & Wetbar,Restaurant,4.0,"1,638",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Chic, airy setting for inventive comfort food &  classic dishes plus cocktails & 30 beers on tap.",Rogue Kitchen & Wetbar,4.0,(1638),Non-Veg
Sylvia Hotel and Restaurant,Restaurant,4.3,"1,138",,"Vancouver, BC, Canada",,,,,,,Casual rooms with free Wi-Fi in a 1912 apartment building overlooking English Bay.,Sylvia Hotel and Restaurant,4.3,(1138),Non-Veg
Tractor Foods,Health Food,4.2,374,Average Cost,,8AM,Closed,,,,"Vancouver, BC, Canada",,Tractor Foods,4.2,(374),Non-Veg
Burgoo,Bistro,4.4,"1,173",Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Neighbourhood bistro serving traditional comfort-food favourites in a countryside atmosphere.,Burgoo,4.4,(1173),Non-Veg
Tractor Everyday Healthy Foods - Marine Building,Health Food,4.1,451,Average Cost,,8AM,Closed,,,,"Vancouver, BC, Canada","Chic, modern counter-serve space known for sustainable grain bowls, salads & market sides.",Tractor Everyday Healthy Foods - Marine Building,4.1,(451),Non-Veg
H Tasting Lounge,Restaurant,4.3,115,,"Vancouver, BC, Canada",3PM,Closed,,,,,,H Tasting Lounge,4.3,(115),Non-Veg
Akbar's Own Indian Restaurant,Indian,4.1,274,,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,,"Casual, family-operated restaurant with a warm vibe offering familiar Indian cuisine & lunch deals.",,,,Non-Veg
Pokerrito,Hawaiian,4.3,884,,"Vancouver, BC, Canada",11AM,Closed,,,,,"Modern source for build-your-own Hawaiian-inflected poke bowls, seaweed-wrapped burritos & salads.",Pokerrito,4.3,(884),Non-Veg
Sala Thai,Thai,4.1,"1,118",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Classic Thai dishes & unique house specials plus wine, beer & cocktails in a casual environment.",Sala Thai,4.1,(1118),Non-Veg
George's Pizza,Pizza,4.1,160,,"vancouver, BC, Canada",11AM,Closed,Dine-in,Takeaway,Delivery,,,George's Pizza,4.1,(160),Non-Veg
Red Star Seafood Restaurant,Chinese,4.0,696,Expensive,,10AM,Closed,Dine-in,Takeaway,,"Vancouver, BC, Canada","Intricate dim sum, live seafood & traditional & modern Cantonese dishes in an upscale setting.",Red Star Seafood Restaurant,4.0,(696),Non-Veg
Bistro Verde,American,3.9,355,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada",Stylish restaurant & bar serving Canadian fare & cocktails in the Nordstrom Pacific Centre.,Bistro Verde,3.9,(355),Non-Veg
St Regis Bar and Grill,Grill,4.0,527,Average Cost,,,Temporarily closed,,,,"Vancouver, BC, Canada",Classy hotel spot with high ceilings & a wood interior for drinks & modern pub grub.,St Regis Bar and Grill,4.0,(527),Non-Veg
Locarno Beach Concession,Fast Food,3.9,66,,"Vancouver, BC, Canada",,,,,,,,Locarno Beach Concession,3.9,(66),Non-Veg
One Saigon,Vietnamese,4.0,109,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada","Snug cafe with table service & takeout serving Vietnamese noodles, sandwiches & rice dishes.",One Saigon,4.0,(109),Non-Veg
O Sushi,Sushi,4.2,517,,"Vancouver, BC, Canada",11AM,Closed,,,,,"Small bistro & take-out place offering familiar Japanese seafood, rice bowls & noodle soups.",O Sushi,4.2,(517),Non-Veg
Pokerrito,Hawaiian,4.4,319,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada","Airy, modern counter serve offering Hawaiian-style build-your-own sushi bowls, salads or burritos.",Pokerrito,4.4,(319),Non-Veg
Rice N Spice,Indian,4.2,94,Not Expensive,,,Temporarily closed,,,,"Vancouver, BC, Canada",Sung Indian counter serve offering a simple menu of meat & veggie dishes in a pared-down setting.,Rice N Spice,4.2,(94),Non-Veg
Oceans 999,Pacific Northwest,3.8,79,,"Vancouver, BC, Canada",6:30AM,Closed,,,,,Classy eatery at the Pan Pacific Vancouver Hotel offering Pacific Northwest cuisine & water views.,Oceans 999,3.8,(79),Non-Veg
Vonns,Restaurant,4.8,170,,"Vancouver, BC, Canada",11AM,Closed,,,,,,Vonns,4.8,(170),Non-Veg
ZAC-ZAC Japanese Curry House,Japanese,4.2,159,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada",Busy food court?style eatery inside H-Mart supermarket offering Japanese curry & katsu dishes.,ZAC-ZAC Japanese Curry House,4.2,(159),Non-Veg
DIVA AT THE MET,Restaurant,3.9,121,Too Expensive,,6:30AM,Closed,,,,"Vancouver, BC, Canada",Elegant eatery with a cocktail lounge & inventive tasting menus using local ingredients.,DIVA AT THE MET,3.9,(121),Non-Veg
The Butcher and Bullock,Restaurant,4.0,"1,081",Average Cost,,3PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Contemporary pub grub, craft brews & cocktails served in a rich space with rustic touches & TVs..",The Butcher and Bullock,4.0,(1081),Non-Veg
Gyu King Teppanyaki,Teppanyaki,3.9,247,Expensive,,11:30AM,Closed,,,,755 Burrard St #219,"Polished eatery specializing in Japanese stir-fries, including all-you-can-eat lunches.",Gyu King Teppanyaki,3.9,(247),Non-Veg
Damso Modern,Restaurant,3.9,489,Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,770 Bute St,"Snug, modern cafe specializing in arty, small-sized dishes like kimchi stew & Korean tacos.",Damso Modern,3.9,(489),Non-Veg
Carl's Jr.,Fast Food,4.0,679,Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,625 Howe St Suite 100,"Fast-food chain known for its variety of piled-high burgers & meal combos, plus shakes.",Carl's Jr.,4.0,(679),Non-Veg
Kirin Restaurant,Chinese,3.7,791,Average Cost,,11AM,Closed,,,,1172 Alberni St,"Celebrated staple for classic Chinese fare & inventive, daily dim sum in a polished dining room.",Kirin Restaurant,3.7,(791),Non-Veg
Aladdin Caf‚,Mediterranean,4.0,293,Not Expensive,,11:30AM,Closed,,,,615 Robson St,"Straightforward Middle Eastern cafe offering shawarma, kebabs, falafel & other familiar dishes.",Aladdin Caf‚,4.0,(293),Non-Veg
Bridges Restaurant,Seafood,3.8,"1,494",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,No-contact delivery,1696 Duranleau St,"Popular waterfront spot with a seafood-focused menu & an upper dining room, bistro, bar & patio.",Bridges Restaurant,3.8,(1494),Non-Veg
Kingston Taphouse & Grille,Grill,4.0,544,Average Cost,,11:30AM,Closed,,,,755 Richards St,Welcoming bar & casual eatery with a garden patio  plus a basement for live shows & playing darts.,Kingston Taphouse & Grille,4.0,(544),Non-Veg
"Mr. Shawarma on 655 Burrard St, 799 Robson St and 610 Granville St",Middle Eastern,4.7,79,,"Robson and, Hornby St",11AM,Closed,,,,,,"Mr. Shawarma on 655 Burrard St, 799 Robson St and 610 Granville St",4.7,(79),Non-Veg
Bay Sushi Cafe Express,Sushi,4.1,320,Not Expensive,,10AM,Closed,Dine-in,Takeaway,Delivery,678 Seymour St,Buzzy counter-serve cafe offering varied sushi & bento boxes along with tempura & noodles dishes.,Bay Sushi Cafe Express,4.1,(320),Non-Veg
Fairmont Hotel Vancouver,Restaurant,4.5,"3,939",,900 W Georgia St,,,,,,,"High-end rooms & suites in a polished hotel with a sophisticated restaurant, a spa & an indoor pool.",Fairmont Hotel Vancouver,4.5,(3939),Non-Veg
Ramen Gojiro,Ramen,4.2,"2,086",Not Expensive,,11AM,Closed,,,,501 Dunsmuir St,"Japanese soups, dumplings, salads & more offered with beer in simple, modern surroundings.",Ramen Gojiro,4.2,(2086),Non-Veg
Peaceful Restaurant,Chinese,3.8,612,,602 Seymour St,11AM,Closed,,,,,,Peaceful Restaurant,3.8,(612),Non-Veg
Yah Yah Ya Ramen Downtown,Ramen,4.2,693,Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,570 Robson St,"Relaxed Japanese restaurant serving hot & cold ramen in a modest, traditional setting.",Yah Yah Ya Ramen Downtown,4.2,(693),Non-Veg
A&W Canada,Hamburger,3.9,218,Not Expensive,,,,,,,450 Robson St,"Fast-food outlet serving up namesake root beer & floats, plus burgers, chicken, hot dogs & fries.",A&W Canada,3.9,(218),Non-Veg
Unwind,Restaurant,3.8,14,,1110 Howe St,6:30AM,Closed,,,,,,Unwind,3.8,(14),Non-Veg
Sushi Maro Japanese Restaurant,Sushi,4.0,451,Average Cost,,11:30AM,Closed,,,,1168 Mainland St #101,Local operation offering an extensive menu of eclectic Japanese eats & delivery service.,Sushi Maro Japanese Restaurant,4.0,(451),Non-Veg
India Abroad,Indian,3.8,67,,530 Hornby St,10AM,Closed,,,,,"Indian favorites like butter chicken feature at this no-frills, cafeteria-style food court stall.",India Abroad,3.8,(67),Non-Veg
Bistro Verde,Restaurant,4.2,21,,701 W Georgia St,10AM,Closed,,,,,,Bistro Verde,4.2,(21),Non-Veg
Shabusen Yakiniku House,Japanese,3.8,"1,711",Average Cost,,11AM,Closed,Dine-in,Takeaway,,755 Burrard St #202,"All-you-can-eat Japanese & Korean-style BBQ, prepared on tabletop grills, plus sushi options.",Shabusen Yakiniku House,3.8,(1711),Non-Veg
Hotel Fairmont Pacific Rim,Restaurant,4.6,"3,592",,1038 Canada Pl,,,,,,,"Luxe lodging in a striking building offering 3 high-end dining options, a spa & a rooftop pool.",Hotel Fairmont Pacific Rim,4.6,(3592),Non-Veg
Six Acres,Restaurant,4.3,641,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada",This lively gastropub offers shared plates & a wide selection of beer & spirits in a historic space.,Six Acres,4.3,(641),Non-Veg
Pho Express,Pho,4.4,26,,"Vancouver, BC, Canada",9AM,Closed,,,,,,Pho Express,4.4,(26),Non-Veg
Burgoo Bistro Lonsdale,Bistro,4.4,586,Average Cost,,11AM,Closed,,,,"North Vancouver, BC, Canada",Neighbourhood bistro serving traditional comfort food with global touches in a country setting.,Burgoo Bistro Lonsdale,4.4,(586),Non-Veg
Hotel Fairmont Waterfront,Restaurant,4.5,"2,694",,"Vancouver, BC, Canada",,,,,,,"Modern hotel offering sophisticated rooms & dining, plus a outdoor pool, a bar & harbour views.",Hotel Fairmont Waterfront,4.5,(2694),Non-Veg
Freshslice Pizza,Pizza,4.0,256,Not Expensive,,11AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada",,Freshslice Pizza,4.0,(256),Non-Veg
BA Restaurant Holdings Ltd.,Family-friendly,5.0,1,,"Vancouver, BC, Canada",,Temporarily closed,,,,,,BA Restaurant Holdings Ltd.,5.0,(1),Non-Veg
Potluck Hawker Eatery,Restaurant,4.3,32,,"Vancouver, BC, Canada",3PM,Closed,,,,,,Potluck Hawker Eatery,4.3,(32),Non-Veg
Ballyhoo Public House,Restaurant,4.2,108,,"Vancouver, BC, Canada",4PM,Closed,,,,,,Ballyhoo Public House,4.2,(108),Non-Veg
JOEY Shipyards,Restaurant,4.6,267,Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"North Vancouver, BC, Canada",,JOEY Shipyards,4.6,(267),Non-Veg
Sushi Maki,Sushi,3.8,73,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada","Cozy, low-key spot in an urban setting preparing sushi & other Japanese bites to eat in or take out.",Sushi Maki,3.8,(73),Non-Veg
Tap & Barrel Shipyards,Restaurant,4.2,"2,379",Average Cost,,11AM,Closed,Dine-in,Takeaway,No-contact delivery,"North Vancouver, BC, Canada","Contemporary pub offering Pacific Northwest fare, craft brews & a sprawling patio with scenic views.",Tap & Barrel Shipyards,4.2,(2379),Non-Veg
A&W Canada,Hamburger,3.8,405,Not Expensive,,6AM,Closed,,,,"Vancouver, BC, Canada","Fast-food outlet serving up namesake root beer & floats, plus burgers, chicken, hot dogs & fries.",A&W Canada,3.8,(405),Non-Veg
1931 Gallery Bistro,Restaurant,3.8,56,,"Vancouver, BC, Canada",10AM,Closed,Dine-in,Takeaway,Delivery,,,1931 Gallery Bistro,3.8,(56),Non-Veg
A&W Canada,Hamburger,3.7,333,Not Expensive,,,,,,,"Vancouver, BC, Canada","Fast-food outlet serving up namesake root beer & floats, plus burgers, chicken, hot dogs & fries.",A&W Canada,3.7,(333),Non-Veg
Marimba ?Local Mexican Kitchen?,Mexican,4.8,6,,"Vancouver, BC, Canada",11AM,Closed,,,,,,Marimba ?Local Mexican Kitchen?,4.8,(6),Non-Veg
St. Augustine's,Gastropub,4.1,"2,003",Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Relaxed tavern offering Canadian pub grub, a rotating selection of local microbrews & a patio.",St. Augustine's,4.1,(2003),Non-Veg
The Lobby Restaurant,Canadian,4.0,225,Average Cost,,6:30AM,Closed,Dine-in,Takeaway,Delivery,"North Vancouver, BC, Canada","Bright, contemporary hotel eatery offering regional Canadian fare, daily happy hour & weekend music.",The Lobby Restaurant,4.0,(225),Non-Veg
Victoria Chinese Restaurant,Cantonese,3.6,322,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada",,Victoria Chinese Restaurant,3.6,(322),Non-Veg
Sopra Sotto Pizzeria,Italian,4.6,208,Average Cost,,4PM,Closed,,,,"Burnaby, BC, Canada",,Sopra Sotto Pizzeria,4.6,(208),Non-Veg
Chopped Leaf,Salad,4.1,182,Average Cost,,10AM,Closed,,,,"Vancouver, BC, Canada",,Chopped Leaf,4.1,(182),Non-Veg
Rue 909 Sushi,Sushi,3.8,249,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada",Simple weekday sushi restaurant also offering kitchen fare such as tempura & teriyaki dishes.,Rue 909 Sushi,3.8,(249),Non-Veg
Urban Sushi Cafe,Sushi,3.7,267,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Japanese pick offering rolls, nigiri & other casual eats plus delivery, takeaway & online ordering.",Urban Sushi Cafe,3.7,(267),Non-Veg
The Cambie Bar & Grill,Grill,4.0,"2,300",Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Long-standing alehouse with drinks specials, pub grub & a 24-hour hostel upstairs.",The Cambie Bar & Grill,4.0,(2300),Non-Veg
Bibo Pizzeria,Italian,3.9,509,Average Cost,,11:30AM,Closed,,,,"Richmond, BC, Canada",,Bibo Pizzeria,3.9,(509),Non-Veg
Trees Organic Coffee,Cafe,4.2,"1,234",Average Cost,,7AM,Closed,,,,"Vancouver, BC, Canada",Local chain outpost roasting fair-trade beans & offering light bites & sweets like cheesecake.,Trees Organic Coffee,4.2,(1234),Non-Veg
Mom?s Grilled Cheese Truck,Restaurant,4.8,9,,"Vancouver, BC, Canada",,,,,,,,Mom?s Grilled Cheese Truck,4.8,(9),Non-Veg
The Bottleneck,Restaurant,4.3,248,,"vancouver, BC, Canada",4PM,Closed,,,,,"Contemporary bar featuring locally sourced pub fare, craft beers & cocktails, plus DJs & trivia.",The Bottleneck,4.3,(248),Non-Veg
The Deck Kitchen + Bar,Restaurant,3.9,334,Average Cost,,,Temporarily closed,,,,"Richmond, BC, Canada",Airy eatery with an outdoor deck overlooking the water serving elevated comfort fare & cocktails.,The Deck Kitchen + Bar,3.9,(334),Non-Veg
Red Racer Taphouse,Gastropub,4.1,"1,045",Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada",Relaxed brewpub with communal tables & TVs offering a robust craft beer list & gourmet bar bites.,Red Racer Taphouse,4.1,(1045),Non-Veg
Shark Club Sports Bar & Grill,Restaurant,4.0,554,Average Cost,,3PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Sports bar chain branch serving beer & casual Canadian fare that becomes clubby when late.,Shark Club Sports Bar & Grill,4.0,(554),Non-Veg
Kung Fu Noodle,Chinese Noodles,3.5,320,Not Expensive,,11AM,Closed,,,,"Vancouver, BC, Canada","This bright, informal eatery serves basic Chinese fare such as noodle soups, fried rice & dim sum.",Kung Fu Noodle,3.5,(320),Non-Veg
Carmelo's Ristorante Italiano,Italian,4.5,228,Average Cost,,11:30AM,Closed,,,,"West Vancouver, BC, Canada","Cozy Italian stalwart dishing up pasta, meat dishes & thin-crust pies for dine-in or takeout.",Carmelo's Ristorante Italiano,4.5,(228),Non-Veg
Thai Express,Restaurant,3.6,106,Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",,Thai Express,3.6,(106),Non-Veg
Ancora Waterfront Dining and Patio - Ambleside,Seafood,4.6,116,Too Expensive,,,Temporarily closed,,,,"West Vancouver, BC, Canada",,Ancora Waterfront Dining and Patio - Ambleside,4.6,(116),Non-Veg
Terroir Kitchen,Tapas,4.8,99,,"West Vancouver, BC, Canada",4:30PM,Closed,,,,,Stylish restaurant with an open kitchen creating European-inspired tapas from seasonal produce.,Terroir Kitchen,4.8,(99),Non-Veg
The Keefer Bar,Bar,4.5,725,Expensive,,3PM,Closed,Dine-in,,,"Vancouver, BC, Canada","Dark, swanky bar with a patio, shaking up Asian-inspired cocktails to pair with fusion small plates.",The Keefer Bar,4.5,(725),Non-Veg
Straight & Marrow,Restaurant,5.0,3,,"Vancouver, BC, Canada",5:30PM,Closed,,,,,,Straight & Marrow,5.0,(3),Non-Veg
Potato Tornado,Fast Food,4.9,8,,"Vancouver, BC, Canada",8AM,Closed,,,,,,Potato Tornado,4.9,(8),Non-Veg
Cazba Express,Middle Eastern,3.5,26,,"Vancouver, BC, Canada",,,,,,,"Independent food truck serving up wraps, salads, stews & other classic Persian meals at the counter.",Cazba Express,3.5,(26),Non-Veg
Burger King,Fast Food,3.5,604,Not Expensive,,6AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Well-known fast-food chain serving grilled burgers, fries & shakes, plus breakfast.",Burger King,3.5,(604),Non-Veg
Dublin Calling,Irish pub,4.0,844,Average Cost,,12PM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada",,Dublin Calling,4.0,(844),Non-Veg
Zen Japanese Restaurant,Japanese,4.3,169,Average Cost,,4PM,Closed,,,,"West Vancouver, BC, Canada","Japanese dishes made with ocean-friendly ingredients are served in a bright, spacious dining room.",Zen Japanese Restaurant,4.3,(169),Non-Veg
Atlas Steak + Fish,Restaurant,4.4,631,Expensive,,4PM,Closed,,,,"Burnaby, BC, Canada",,Atlas Steak + Fish,4.4,(631),Non-Veg
Cinema Public House,Restaurant,4.0,824,Average Cost,,4PM,Closed,,,,"Vancouver, BC, Canada",Chic space separated into a dining area with modern pub grub & a bar with a jukebox & craft beer.,Cinema Public House,4.0,(824),Non-Veg
Subway,Sandwich,4.0,160,Not Expensive,,8AM,Closed,,,,"Vancouver, BC, Canada","Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",Subway,4.0,(160),Non-Veg
TacoTime,Restaurant,3.4,67,Not Expensive,,10AM,Closed,,,,"Vancouver, BC, Canada","Longtime Mexican fast-food chain serving tacos, crisp burritos & kids' meals in simple surrounds.",TacoTime,3.4,(67),Non-Veg
Sauzzy Thai,Thai,3.6,14,,"Vancouver, BC, Canada",11AM Fri,Closed,,,,,,Sauzzy Thai,3.6,(14),Non-Veg
Bar One,Bar,4.1,21,,"Vancouver, BC, Canada",11AM,Closed,,,,,"Modern, casual bar serving craft beer, wine, single-malt scotches & small plates at the Sheraton.",Bar One,4.1,(21),Non-Veg
Hula,Hawaiian,3.4,115,,"Vancouver, BC, Canada",11AM,Closed,,,,,"Snug, minimalist counter-service operation serving create-your-own Hawaiian poke bowls.",Hula,3.4,(115),Non-Veg
Hotel Fairmont Vancouver Airport,Restaurant,4.6,"1,751",,"Richmond, BC, Canada",,,,,,,"An upscale hotel within the airport, offering an indoor pool, a spa & a chic restaurant & bar.",Hotel Fairmont Vancouver Airport,4.6,(1751),Non-Veg
New York Fries - Pacific Centre,Family-friendly,3.4,62,,"Vancouver, BC, Canada",10AM,Closed,Dine-in,Takeaway,Delivery,,,New York Fries - Pacific Centre,3.4,(62),Non-Veg
KINTON RAMEN,No reviews Ramen,,,,"Vancouver, BC, Canada",11:30AM,Closed,,,,,,KINTON RAMEN,,,Non-Veg
Umi Sushi Express,Japanese,3.2,63,,"Vancouver, BC, Canada",10AM,Closed,,,,,,Umi Sushi Express,3.2,(63),Non-Veg
Palki Restaurant,Indian,4.3,207,Average Cost,,4PM,Closed,,,,"North Vancouver, BC, Canada","Gluten-free Indian dishes & handmade breads in a spacious dining room, plus delivery service.",Palki Restaurant,4.3,(207),Non-Veg
Grain Tasting Bar,Bar,4.1,117,Average Cost,,,Temporarily closed,,,,"Vancouver, BC, Canada","Chic, modern restaurant & lounge featuring locally sourced small plates, wines, beers & spirits.",Grain Tasting Bar,4.1,(117),Non-Veg
Kirin Seafood Restaurant,Chinese,4.0,"1,001",Average Cost,,10AM,Closed,,,,"Richmond, BC, Canada","Celebrated staple for classic Chinese fare & inventive, daily dim sum in a polished dining room.",Kirin Seafood Restaurant,4.0,(1001),Non-Veg
Superflux Beer Company,Brewery,,,,"Vancouver, BC, Canada",,Opens Sat 15 Aug,,,,,,Superflux Beer Company,,,Non-Veg
Haida Sandwich,Sandwich,4.1,288,Average Cost,,11AM,Closed,,,,"North Vancouver, BC, Canada",,Haida Sandwich,4.1,(288),Non-Veg
Vancouver Foodie Tours,Tour operator,4.9,83,,"Vancouver, BC, Canada",8AM,Closed,,,,,,Vancouver Foodie Tours,4.9,(83),Non-Veg
Golden Paramount Seafood Restaurant,Seafood,3.9,279,Average Cost,,10AM,Closed,,,,"Richmond, BC, Canada","Casual place specializing in dim sum, seafood & a variety of traditional Cantonese dishes.",Golden Paramount Seafood Restaurant,3.9,(279),Non-Veg
Thomas Haas,Dessert,4.6,775,Average Cost,,9AM,Closed,,,,"Vancouver, BC, Canada","Airy space for acclaimed chocolatier's handcrafted sweets & pastries, plus soups & sandwiches.",Thomas Haas,4.6,(775),Non-Veg
Thierry,Dessert shop,4.4,"2,358",Expensive,,8AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada",Renowned counter-service cafe & shop luring foodies with savoury fare and artisanal confections.,Thierry,4.4,(2358),Non-Veg
Kirin Restaurant,Chinese,4.1,766,Average Cost,,11AM,Closed,,,,"New Westminster, BC, Canada","Celebrated staple for classic Chinese fare & inventive, daily dim sum in a polished dining room.",Kirin Restaurant,4.1,(766),Non-Veg
Restaurant Business Broker,Commercial real estate agency,5.0,1,,"Vancouver, BC, Canada",10AM,Closed,,,,,,Restaurant Business Broker,5.0,(1),Non-Veg
Vancouver Restaurant Brokers,Business broker,4.5,2,,"Vancouver, BC, Canada",9AM,Closed,,,,,,Vancouver Restaurant Brokers,4.5,(2),Non-Veg
Altitudes Bistro,Bistro,3.9,653,Average Cost,,,,,,,"North Vancouver, BC, Canada","Canadian bistro offering regional cuisine, with mountain views & tables on a roomy patio.",Altitudes Bistro,3.9,(653),Non-Veg
PumpJack Pub,Gay bar,4.1,143,Not Expensive,,1PM,Closed,,,,"Vancouver, BC, Canada","Neighbourhood watering hole with drink specials & gay party nights, plus DJs & a dance floor.",PumpJack Pub,4.1,(143),Non-Veg
Purebread,Bakery and Cake Shop,4.7,"1,323",Average Cost,,8:30AM,Closed,,,,"Vancouver, BC, Canada",,Purebread,4.7,(1323),Non-Veg
JW Marriott Parq Vancouver,Hotel,4.1,"3,820",,"Vancouver, BC, Canada",,,,,,,"Elegant accommodations in a high-end hotel offering dining & bars, plus a casino & ocean views.",JW Marriott Parq Vancouver,4.1,(3820),Non-Veg
Revolver,Cafe,4.6,"1,610",Average Cost,,9AM,Closed,,,,"Vancouver, BC, Canada","Detail-oriented shop with ethical & fair-trade coffee brewed fresh-to-order, plus baked goods.",Revolver,4.6,(1610),Non-Veg
ABM Food Equipment - Restaurant Equipment & Supplies,Restaurant supply store,4.6,90,,"Vancouver, BC, Canada",9AM,Closed,,,,,,ABM Food Equipment - Restaurant Equipment & Supplies,4.6,(90),Non-Veg
Bella Gelateria,Ice Cream,4.4,"1,371",Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Shop for old-world style gelato as well as hot & cold beverages.,Bella Gelateria,4.4,(1371),Non-Veg
"The Westin Bayshore, Vancouver",Hotel,4.4,"3,186",,"Vancouver, BC, Canada",,,,,,,"Refined lodging offering an upscale lounge & a grill-style eatery, plus 2 pools & a spa.","The Westin Bayshore, Vancouver",4.4,(3186),Non-Veg
Earnest Ice Cream,Ice Cream,4.6,"1,829",Average Cost,,12PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Bright ice cream parlor scooping quirky seasonal flavors, sundaes & vegan options.",Earnest Ice Cream,4.6,(1829),Non-Veg
JOEY Corporate Office,Corporate office,5.0,1,,"Vancouver, BC, Canada",9AM,Closed,,,,,,JOEY Corporate Office,5.0,(1),Non-Veg
Stanley Park,Park,4.8,"31,717",,"Vancouver, BC, Canada",9AM,Closed,,,,,"Vancouver's largest urban park boasts beaches, trails, scenic seawall & family-friendly attractions.",Stanley Park,4.8,(31717),Non-Veg
Russell Hendrix Restaurant Equipment & Foodservice Supplies,Restaurant supply store,4.0,57,,"Vancouver, BC, Canada",9AM,Closed,,,,,,Russell Hendrix Restaurant Equipment & Foodservice Supplies,4.0,(57),Non-Veg
